 nb            ed            pr           
 7.693509e-08  3.629542e-07  7.928046e-11 
 8.078185e-08  3.811060e-07  8.475770e-11 
 8.482094e-08  4.001656e-07  9.060960e-11 
 8.906199e-08  4.201786e-07  9.686071e-11 
 9.351509e-08  4.411926e-07  1.035384e-10 
 9.819084e-08  4.632575e-07  1.106710e-10 
 1.031004e-07  4.864261e-07  1.182905e-10 
 1.082554e-07  5.107536e-07  1.264290e-10 
 1.136682e-07  5.362978e-07  1.351220e-10 
 1.193516e-07  5.631196e-07  1.444159e-10 
 1.253192e-07  5.912831e-07  1.543242e-10 
 1.315851e-07  6.208552e-07  1.649158e-10 
 1.381644e-07  6.519065e-07  1.762387e-10 
 1.450726e-07  6.845109e-07  1.883090e-10 
 1.523262e-07  7.187462e-07  1.995755e-10 
 1.599425e-07  7.546938e-07  2.132427e-10 
 1.679397e-07  7.924392e-07  2.199056e-10 
 1.763366e-07  8.320725e-07  2.349394e-10 
 1.851535e-07  8.736882e-07  2.510088e-10 
 1.944111e-07  9.173856e-07  2.681694e-10 
 2.041317e-07  9.632688e-07  2.864922e-10 
 2.143383e-07  1.011447e-06  3.060593e-10 
 2.250552e-07  1.062035e-06  3.269537e-10 
 2.363080e-07  1.115154e-06  3.492646e-10 
 2.481234e-07  1.170930e-06  3.730863e-10 
 2.605295e-07  1.229495e-06  3.985228e-10 
 2.735560e-07  1.290991e-06  4.256831e-10 
 2.872338e-07  1.355562e-06  4.547086e-10 
 3.015955e-07  1.423364e-06  4.856436e-10 
 3.166753e-07  1.494557e-06  5.187020e-10 
 3.325090e-07  1.569312e-06  5.539976e-10 
 3.491345e-07  1.647806e-06  5.916833e-10 
 3.665912e-07  1.730227e-06  6.319147e-10 
 3.849208e-07  1.816771e-06  6.748691e-10 
 4.041668e-07  1.907644e-06  7.207291e-10 
 4.243752e-07  2.003064e-06  7.696875e-10 
 4.455939e-07  2.103257e-06  8.219582e-10 
 4.678736e-07  2.208462e-06  8.777573e-10 
 4.912673e-07  2.318930e-06  9.373299e-10 
 5.158307e-07  2.434925e-06  1.000929e-09 
 5.416222e-07  2.556723e-06  1.068825e-09 
 5.687033e-07  2.684615e-06  1.141302e-09 
 5.971385e-07  2.818904e-06  1.218676e-09 
 6.269954e-07  2.959913e-06  1.301273e-09 
 6.583452e-07  3.107975e-06  1.389451e-09 
 6.912624e-07  3.263446e-06  1.483665e-09 
 7.258255e-07  3.426695e-06  1.584062e-09 
 7.621168e-07  3.598112e-06  1.691317e-09 
 8.002226e-07  3.778103e-06  1.731768e-09 
 8.402338e-07  3.967097e-06  1.848993e-09 
 8.822455e-07  4.165548e-06  1.974128e-09 
 9.263577e-07  4.373927e-06  2.107712e-09 
 9.726756e-07  4.592729e-06  2.192774e-09 
 1.021309e-06  4.822479e-06  2.341101e-09 
 1.072375e-06  5.063724e-06  2.499442e-09 
 1.125994e-06  5.317039e-06  2.668452e-09 
 1.182293e-06  5.583029e-06  2.848858e-09 
 1.241408e-06  5.862328e-06  3.041427e-09 
 1.303478e-06  6.155601e-06  3.247159e-09 
 1.368652e-06  6.463549e-06  3.466369e-09 
 1.437085e-06  6.786906e-06  3.700782e-09 
 1.508939e-06  7.126442e-06  3.950534e-09 
 1.584386e-06  7.482968e-06  4.217357e-09 
 1.663605e-06  7.857334e-06  4.502158e-09 
 1.746786e-06  8.250434e-06  4.806437e-09 
 1.834125e-06  8.663198e-06  4.910527e-09 
 1.925831e-06  9.096612e-06  5.242010e-09 
 2.022123e-06  9.551713e-06  5.595854e-09 
 2.123229e-06  1.002959e-05  5.973872e-09 
 2.229390e-06  1.053138e-05  6.376647e-09 
 2.340860e-06  1.105827e-05  6.807286e-09 
 2.457903e-06  1.161154e-05  7.266116e-09 
 2.580798e-06  1.219249e-05  7.756281e-09 
 2.709838e-06  1.280252e-05  8.279490e-09 
 2.845330e-06  1.344307e-05  8.837861e-09 
 2.987596e-06  1.411568e-05  9.433854e-09 
 3.136976e-06  1.482195e-05  1.006999e-08 
 3.293825e-06  1.556357e-05  1.074892e-08 
 3.458516e-06  1.634230e-05  1.147358e-08 
 3.631442e-06  1.716001e-05  1.224706e-08 
 3.813014e-06  1.801864e-05  1.307260e-08 
 4.003665e-06  1.892025e-05  1.395366e-08 
 4.203848e-06  1.986699e-05  1.489491e-08 
 4.414040e-06  2.086110e-05  1.589778e-08 
 4.634742e-06  2.190498e-05  1.696893e-08 
 4.866480e-06  2.300111e-05  1.811236e-08 
 5.109804e-06  2.415210e-05  1.933257e-08 
 5.365294e-06  2.536070e-05  2.063617e-08 
 5.633558e-06  2.662980e-05  2.202629e-08 
 5.915236e-06  2.796243e-05  2.350996e-08 
 6.210998e-06  2.936175e-05  2.392503e-08 
 6.521548e-06  3.083108e-05  2.553638e-08 
 6.847625e-06  3.237395e-05  2.725627e-08 
 7.190007e-06  3.399405e-05  2.909182e-08 
 7.549507e-06  3.569526e-05  3.105272e-08 
 7.926982e-06  3.748163e-05  3.314372e-08 
 8.323332e-06  3.935742e-05  3.537349e-08 
 8.739498e-06  4.132712e-05  3.775520e-08 
 9.176473e-06  4.339542e-05  4.029715e-08 
 9.635297e-06  4.556728e-05  4.300998e-08 
 1.011706e-05  4.784786e-05  4.590537e-08 
 1.062291e-05  5.024263e-05  4.899559e-08 
 1.115406e-05  5.275729e-05  5.229392e-08 
 1.171176e-05  5.539786e-05  5.581374e-08 
 1.229735e-05  5.817063e-05  5.957048e-08 
 1.291222e-05  6.108224e-05  6.357976e-08 
 1.355783e-05  6.413964e-05  6.785888e-08 
 1.423572e-05  6.735012e-05  7.242601e-08 
 1.494751e-05  7.072137e-05  7.730015e-08 
 1.569488e-05  7.426143e-05  8.250180e-08 
 1.647963e-05  7.797871e-05  8.359041e-08 
 1.730361e-05  8.188196e-05  8.921557e-08 
 1.816879e-05  8.598067e-05  9.522427e-08 
 1.907723e-05  9.028462e-05  1.016318e-07 
 2.003109e-05  9.480410e-05  1.084642e-07 
 2.103264e-05  9.954991e-05  1.157621e-07 
 2.208428e-05  1.045334e-04  1.235513e-07 
 2.318849e-05  1.097664e-04  1.318633e-07 
 2.434791e-05  1.152616e-04  1.407356e-07 
 2.556531e-05  1.210319e-04  1.502035e-07 
 2.684358e-05  1.270913e-04  1.603081e-07 
 2.818575e-05  1.334541e-04  1.710932e-07 
 2.959504e-05  1.401357e-04  1.826030e-07 
 3.107479e-05  1.471519e-04  1.948861e-07 
 3.262853e-05  1.545195e-04  2.079959e-07 
 3.425996e-05  1.622563e-04  2.219879e-07 
 3.597296e-05  1.703805e-04  2.237681e-07 
 3.777161e-05  1.789111e-04  2.388341e-07 
 3.966019e-05  1.878690e-04  2.548993e-07 
 4.164320e-05  1.972756e-04  2.720301e-07 
 4.372536e-05  2.071534e-04  2.903267e-07 
 4.591162e-05  2.175261e-04  3.098547e-07 
 4.820721e-05  2.284184e-04  3.306969e-07 
 5.061757e-05  2.398564e-04  3.529384e-07 
 5.314844e-05  2.518675e-04  3.766761e-07 
 5.580587e-05  2.644800e-04  3.884843e-07 
 5.859616e-05  2.777238e-04  4.069884e-07 
 6.152597e-05  2.916310e-04  4.343648e-07 
 6.460227e-05  3.062350e-04  4.635787e-07 
 6.783238e-05  3.215707e-04  4.947601e-07 
 7.122400e-05  3.376748e-04  5.280335e-07 
 7.478520e-05  3.545857e-04  5.416399e-07 
 7.852446e-05  3.723430e-04  5.780692e-07 
 8.245068e-05  3.909900e-04  6.169492e-07 
 8.657322e-05  4.105713e-04  6.584430e-07 
 9.090188e-05  4.311339e-04  7.027272e-07 
 9.544697e-05  4.527269e-04  7.499895e-07 
 1.002193e-04  4.754020e-04  8.004301e-07 
 1.052303e-04  4.992134e-04  8.543078e-07 
 1.104918e-04  5.242175e-04  8.739240e-07 
 1.160164e-04  5.504735e-04  9.326941e-07 
 1.218172e-04  5.780453e-04  9.954224e-07 
 1.279081e-04  6.069990e-04  1.062373e-06 
 1.343035e-04  6.374038e-04  1.133816e-06 
 1.410186e-04  6.693326e-04  1.210075e-06 
 1.480696e-04  7.028617e-04  1.291448e-06 
 1.554731e-04  7.380709e-04  1.317238e-06 
 1.632467e-04  7.750425e-04  1.405822e-06 
 1.714090e-04  8.138673e-04  1.500373e-06 
 1.799795e-04  8.546381e-04  1.601362e-06 
 1.889785e-04  8.974527e-04  1.708976e-06 
 1.984274e-04  9.424136e-04  1.823898e-06 
 2.083488e-04  9.896285e-04  1.946561e-06 
 2.187662e-04  1.039211e-03  2.077470e-06 
 2.297045e-04  1.091274e-03  2.109847e-06 
 2.411897e-04  1.145945e-03  2.178738e-06 
 2.532492e-04  1.203353e-03  2.234723e-06 
 2.659117e-04  1.263634e-03  2.287696e-06 
 2.792073e-04  1.326931e-03  2.340058e-06 
 2.931676e-04  1.393396e-03  2.392959e-06 
 3.078260e-04  1.463187e-03  2.447154e-06 
 3.232173e-04  1.536470e-03  2.503207e-06 
 3.393782e-04  1.613420e-03  2.561537e-06 
 3.563471e-04  1.694220e-03  2.622586e-06 
 3.741644e-04  1.779064e-03  2.686668e-06 
 3.928727e-04  1.868153e-03  2.754227e-06 
 4.125163e-04  1.961700e-03  2.825552e-06 
 4.331421e-04  2.059928e-03  2.901079e-06 
 4.547992e-04  2.163072e-03  2.981354e-06 
 4.775392e-04  2.271377e-03  3.066268e-06 
 5.014161e-04  2.385101e-03  3.156761e-06 
 5.264870e-04  2.504516e-03  3.253116e-06 
 5.528113e-04  2.629907e-03  3.355825e-06 
 5.804519e-04  2.761573e-03  3.416953e-06 
 6.094745e-04  2.899825e-03  3.534249e-06 
